timing_now,model_type,epoch,learning_rate,hidden_size,batch_size,pooling_style,dropout,time_spent,accuracy
2025-07-15 01:55:49,rnn,15,0.001,64,128,max,0.3,20.3420,0.8886572143452878
2025-07-15 01:56:09,rnn,15,0.001,64,128,max,0.5,20.4076,0.8824020016680567
2025-07-15 01:56:50,rnn,15,0.0001,128,64,avg,0.3,40.8917,0.8707256046705588
2025-07-15 01:57:31,rnn,15,0.0001,128,64,avg,0.5,40.5059,0.8586321934945789
2025-07-15 01:58:12,rnn,15,0.0001,128,64,max,0.3,40.7020,0.872393661384487
2025-07-15 01:58:52,rnn,15,0.0001,128,64,max,0.5,40.7687,0.8678065054211843
2025-07-15 01:59:24,rnn,15,0.0001,128,128,avg,0.3,32.0341,0.8690575479566305
2025-07-15 01:59:57,rnn,15,0.0001,128,128,avg,0.5,32.8521,0.8532110091743119
2025-07-15 02:00:31,rnn,15,0.0001,128,128,max,0.3,33.7440,0.871976647206005
2025-07-15 02:01:04,rnn,15,0.0001,128,128,max,0.5,33.3177,0.8577981651376146
2025-07-15 02:01:34,rnn,15,0.0001,64,64,avg,0.3,29.6786,0.8532110091743119
2025-07-15 02:02:03,rnn,15,0.0001,64,64,avg,0.5,29.3220,0.8319432860717264
2025-07-15 02:02:33,rnn,15,0.0001,64,64,max,0.3,29.8032,0.8607172643869891
2025-07-15 02:03:03,rnn,15,0.0001,64,64,max,0.5,29.5764,0.8457047539616347
2025-07-15 02:03:23,rnn,15,0.0001,64,128,avg,0.3,20.0212,0.8519599666388658
2025-07-15 02:03:43,rnn,15,0.0001,64,128,avg,0.5,20.0417,0.8361134278565471
2025-07-15 02:04:03,rnn,15,0.0001,64,128,max,0.3,20.1282,0.8407005838198499
2025-07-15 02:04:23,rnn,15,0.0001,64,128,max,0.5,20.3068,0.8369474562135113
2025-07-15 02:05:24,cnn,15,0.001,128,64,avg,0.3,60.3383,0.8815679733110926
2025-07-15 02:06:24,cnn,15,0.001,128,64,avg,0.5,60.6644,0.8786488740617181
2025-07-15 02:07:25,cnn,15,0.001,128,64,max,0.3,60.7436,0.878231859883236
2025-07-15 02:08:26,cnn,15,0.001,128,64,max,0.5,60.6943,0.8840700583819849
2025-07-15 02:09:20,cnn,15,0.001,128,128,avg,0.3,53.7561,0.8773978315262719
2025-07-15 02:10:13,cnn,15,0.001,128,128,avg,0.5,53.4913,0.8803169307756463
2025-07-15 02:11:07,cnn,15,0.001,128,128,max,0.3,54.3259,0.8878231859883235
2025-07-15 02:12:02,cnn,15,0.001,128,128,max,0.5,54.4313,0.8832360300250208
2025-07-15 02:12:36,cnn,15,0.001,64,64,avg,0.3,33.9999,0.8874061718098415
2025-07-15 02:13:10,cnn,15,0.001,64,64,avg,0.5,33.6781,0.877814845704754
2025-07-15 02:13:44,cnn,15,0.001,64,64,max,0.3,34.3113,0.8865721434528774
2025-07-15 02:14:18,cnn,15,0.001,64,64,max,0.5,34.3240,0.8786488740617181
2025-07-15 02:14:45,cnn,15,0.001,64,128,avg,0.3,27.2595,0.8773978315262719
2025-07-15 02:15:13,cnn,15,0.001,64,128,avg,0.5,27.3755,0.8740617180984154
2025-07-15 02:15:41,cnn,15,0.001,64,128,max,0.3,27.6475,0.8919933277731443
2025-07-15 02:16:08,cnn,15,0.001,64,128,max,0.5,27.6540,0.8694745621351125
